2025-11-13 19:31:47,452 - stock_data_manager - INFO - Директория данных: stock_data
2025-11-13 19:31:47,452 - stock_data_manager - INFO - StockDataManager инициализирован
2025-11-13 19:31:47,452 - technical_analysis - INFO - TA-lib доступна: False
2025-11-13 19:31:47,452 - technical_analysis - INFO - TA-lib доступна: False
2025-11-13 19:31:47,452 - report_generator - INFO - Директория отчётов: reports
2025-11-13 19:31:47,452 - stock_data_manager - INFO - Начинаем обновление для 5 акций
2025-11-13 19:31:47,452 - stock_data_manager - INFO - 
--- Обновление SBER ---
2025-11-13 19:31:47,452 - stock_data_manager - INFO - Файл для SBER не найден. Начнем с начала.
2025-11-13 19:31:47,452 - stock_data_manager - INFO - Загружаем исторические данные с 2024-11-13
2025-11-13 19:31:47,453 - stock_data_manager - INFO - Начинаем загрузку данных для SBER
2025-11-13 19:32:02,393 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5000, еще: True)
2025-11-13 19:32:02,615 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5100, еще: True)
2025-11-13 19:32:02,884 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5200, еще: True)
2025-11-13 19:32:03,106 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5300, еще: True)
2025-11-13 19:32:03,331 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5400, еще: True)
2025-11-13 19:32:03,543 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5500, еще: True)
2025-11-13 19:32:03,757 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5600, еще: True)
2025-11-13 19:32:04,010 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5700, еще: True)
2025-11-13 19:32:04,237 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5800, еще: True)
2025-11-13 19:32:04,470 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 5900, еще: True)
2025-11-13 19:32:04,690 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6000, еще: True)
2025-11-13 19:32:04,910 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6100, еще: True)
2025-11-13 19:32:05,239 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6200, еще: True)
2025-11-13 19:32:05,547 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6300, еще: True)
2025-11-13 19:32:05,748 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6400, еще: True)
2025-11-13 19:32:05,971 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6500, еще: True)
2025-11-13 19:32:06,182 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6600, еще: True)
2025-11-13 19:32:06,405 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6700, еще: True)
2025-11-13 19:32:06,618 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6800, еще: True)
2025-11-13 19:32:06,834 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 6900, еще: True)
2025-11-13 19:32:07,055 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7000, еще: True)
2025-11-13 19:32:07,288 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7100, еще: True)
2025-11-13 19:32:07,508 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7200, еще: True)
2025-11-13 19:32:07,732 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7300, еще: True)
2025-11-13 19:32:07,945 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7400, еще: True)
2025-11-13 19:32:08,159 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7500, еще: True)
2025-11-13 19:32:08,414 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7600, еще: True)
2025-11-13 19:32:08,641 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7700, еще: True)
2025-11-13 19:32:08,926 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7800, еще: True)
2025-11-13 19:32:09,153 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 7900, еще: True)
2025-11-13 19:32:09,359 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8000, еще: True)
2025-11-13 19:32:09,643 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8100, еще: True)
2025-11-13 19:32:09,868 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8200, еще: True)
2025-11-13 19:32:10,319 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8300, еще: True)
2025-11-13 19:32:10,596 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8400, еще: True)
2025-11-13 19:32:10,869 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8500, еще: True)
2025-11-13 19:32:11,113 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8600, еще: True)
2025-11-13 19:32:11,385 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8700, еще: True)
2025-11-13 19:32:11,625 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8800, еще: True)
2025-11-13 19:32:11,846 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 8900, еще: True)
2025-11-13 19:32:12,338 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 9000, еще: True)
2025-11-13 19:32:12,602 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 9100, еще: True)
2025-11-13 19:32:12,843 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 9200, еще: True)
2025-11-13 19:32:13,076 - stock_data_manager - INFO - Загружено 100 записей для SBER (позиция 9300, еще: True)
2025-11-13 19:32:13,635 - stock_data_manager - INFO - Загружено 21 записей для SBER (позиция 9400, еще: False)
2025-11-13 19:32:13,687 - stock_data_manager - INFO - Загружено 440 записей для SBER
2025-11-13 19:32:13,698 - stock_data_manager - INFO - Данные SBER сохранены: stock_data/SBER_full.csv
